CustomerID;Firma;Ansprechpartner;Segment;Stadt;Region;PLZ;Telefon;Email;Kundenseit
K0065;Martin Wiek AG;Joseph Kobelt-Kruschwitz;KMU;Köln;West;43102;08681 447394;hgute@briemer.com;2016-08-09
K0066;Martin;Roy Stoll;Privatkunde;Darmstadt;Mitte;51884;+49(0)2258 31323;xbauer@ruppersberger.de;2019-09-16
K0067;Rohleder Ehlert KG;Antonio Jessel;Privatkunde;Dresden;Ost;78669;+49(0)2517 785289;kristinehlert@paffrath.com;2021-12-05
K0068;Gehringer Fritsch GmbH;Ing. Willfried Pohl B.Eng.;Großkunde;Hamburg;Nord;43842;(04981) 82992;gertraudescholz@schleich.de;2020-09-29
K0069;Berger;Artur Bien;Großkunde;Kiel;Nord;39690;08447 364710;theodorliebelt@mitschke.com;2017-06-22
K0070;Trupp Juncken Stiftung & Co. KGaA;Zehra Kuhl;Kleinstunternehmen;Halle;Ost;58815;+49(0) 714732104;aschmiedt@freudenberger.de;2016-05-06
K0071;Wiek AG & Co. KGaA;Prof. Irmtraut Ortmann B.Eng.;Kleinstunternehmen;Lübeck;Nord;01687;+49(0) 395004797;ariane01@eimer.de;2018-12-21
K0072;K obelt Bien GmbH;Kasimir Rörricht;Privatkunde;LÜBECK;Nord;58416;07849 91216;loretta58@wende.de;2021-06-06
K0073;Benthin;Ali Etzler;Kleinstunternehmen;Erfurt;Ost;78729;02595 26949;amelie88@trommler.de;2022-09-25
K0074;Koch GmbH;Hartmuth Säuberlich;Großkunde;Köln;West;09749;(03097) 289623;ruppersbergertrudi@doerschner.net;2018-06-24
K0075;Mans GmbH;Dr. Henriette Stumpf;Privatkunde;Düsseldorf;West;68970;+49 (0) 8385 786527;benita54@nette.net;2018-12-02
K0076;Holsten KG;Dorota Huhn;Kleinstunternehmen;Düsseldorf;West;37575;04419 86652;august41@margraf.de;2016-12-26
K0077;Gutknecht KG;Valentine Rörricht;KMU;Erfurt;Ost;21993;+49(0) 083301657;stiffelkaete@adolph.com;2016-09-10
K0078;Söding Mülichen GmbH & Co. KGaA;Pirmin Hövel B.Eng.;Privatkunde;Berlin;Ost;01938;+49(0)2620672400;catharina91@hoelzenbecher.de;2020-03-06
K0079;Pärtzelt GmbH & Co. KG;Corinne Dowerg;Privatkunde;Berlin;Ost;27420;04932966851;gstaude@etzold.de;2020-03-10
K0080;Albers GbR;Edeltraut Matthäi-Weller;Kleinstunternehmen;Wiesbaden;Mitte;54990;+49(0)5301 74268;helena14@schmiedecke.com;2016-09-09
K0081;Fliegner Metz Stiftung & Co. KGaA;Herma Tintzmann;Privatkunde;Lübeck;Nord;83391;07851 91088;christareising@gehringer.de;2017-10-11
K0082;Stiffel AG & Co. OHG;Frau Tanja Pergande MBA.;KMU;Erfurt;Ost;72867;(00874) 064039;biensigmund@thies.com;2022-08-12
K0083;Mude AG;Helmtrud Girschner;Privatkunde;Frankfurt;Mitte;65676;0182512868;jacquelinehauffer@wernecke.org;2017-10-29
K0084;Steinberg Tschentscher KG;Prof. Halina Hein;KMU;Hannover;Mitte;75243;+49(0)0690 331190;rscheuermann@biggen.net;2022-06-05
K0085;Beyer;Imke Heintze-Reuter;Großkunde;Leipzig;Ost;02843;(05995) 342836;karl-heinz08@waehner.com;2016-06-07
K0086;Stiebitz;Prof. Jelena Biggen;KMU;Frankfurt;Mitte;68566;+49 (0) 4628 733427;roerrichtsandor@roht.de;2018-10-31
K0087;Hermighausen AG & Co. OHG;Maren Budig;Privatkunde;Leipzig;Ost;51830;+49(0)6990 13983;vhaenel@austermuehle.com;2020-11-26
K0088;Wende;Dr. Mary Schleich B.A.;Kleinstunternehmen;kiel;Nord;38546;08544 587717;silja35@lehmann.net;2022-01-02
K0089;Fiebig;Francesco Röhrdanz;Großkunde;Stuttgart;Süd;42353;0937854777;jannakitzmann@etzold.de;2020-01-13
K0090;Riehl KGaA;Jonas Beer;Kleinstunternehmen;Freiburg;Süd;00623;+49(0)2038 750997;abachmann@rohleder.de;2019-12-10
K0091;Bachmann GmbH & Co. OHG;Kathleen Hörle;Kleinstunternehmen;Dresden;Ost;86211;02339 84546;koesterveronika@mies.net;2016-07-20
K0092;Stolze Butte KGaA;Bayram Lachmann;Privatkunde;Köln;West;68700;+49 (0) 1765 918033;chiller@stolze.com;2016-05-25
K0093;Jopich AG;Klaus-Peter Fechner MBA.;Kleinstunternehmen;Köln;West;42939;0856218501;eheinrich@schleich.de;2017-06-28
K0094;Becker Schulz GbR;Jasmin Heidrich B.Eng.;KMU;dresden;Ost;62961;(04311) 426265;eitel10@martin.org;2019-03-16
K0095;Eigenwillig AG;Dipl.-Ing. Helmut Roht;KMU;München;Süd;10158;+49(0)9956 046618;charlottepoelitz@stolze.com;2018-03-21
K0096;Heuser GmbH;Jeanette Fiebig;Privatkunde;Leipzig;Ost;26464;;leifalbers@kade.de;2016-09-04
K0097;Käster Losekann KGaA;Gerald Jungfer-Schleich;KMU;Wiesbaden;Mitte;75265;+49(0)7935 64651;dariaritter@stoll.com;2022-03-02
K0098;Misicher;Heinz-Otto Hornich B.Sc.;Privatkunde;Darmstadt;Mitte;72434;(02661) 79796;cring@tintzmann.com;2016-08-11
K0099;Wilmsen GbR;Chantal Seifert;Kleinstunternehmen;Essen;West;96561;+49(0)1438889937;remo79@otto.com;2019-01-17
K0100;Barth Nette AG;Herma Caspar;Privatkunde;Rostock;Nord;25457;+49(0) 875717751;balthasar10@seifert.com;2022-02-16
K0101;H enk;Prof. Daniel Kabus;Privatkunde;Dresden;Ost;73622;(06609) 37966;tlustekheinz-dieter@holsten.com;2018-09-23
K0102;Dobes;Ing. Gotthold Gunpf;Großkunde;München;Süd;14785;(06969) 155792;slavica99@steinberg.de;2017-01-16
K0103;Henck GmbH;;Kleinstunternehmen;München;Süd;86692;;hans-guentherjopich@scholl.com;2015-06-21
K0104;Ernst Gude GmbH;Dipl.-Ing. Marjan Noack MBA.;KMU;Dortmund;West;72190;;grogner@ruppersberger.org;2018-03-17
K0105;Kobelt;Raimund Tschentscher;KMU;KÖLN;West;83613;+49(0)0745 17133;natascha96@schmiedt.net;2019-12-07
K0106;Bonbach KG;Katharine Holt;KMU;Dresden;Ost;54494;01260 42232;marion36@faust.org;2015-11-20
K0107;Liebelt;Inken Bruder-Schulz;Privatkunde;Halle;Ost;68457;05901 751863;fhahn@junitz.com;2018-06-09
K0108;Neureuther;Sylvie Stoll;Großkunde;Halle;Ost;01701;;james15@seip.com;2018-12-15
K0109;Kroker KGaA;Miroslawa Thies;Privatkunde;Darmstadt;Mitte;61103;01293 870051;itaesche@boucsein.com;2020-10-02
K0110;Dobes;Gert Koch;Privatkunde;München;Süd;26221;09092 75326;fharloff@etzold.com;2022-03-27
K0111;Vollbrecht;Gina Lorch-Jopich;Großkunde;Dortmund;West;34138;(09940) 438983;phuebel@ziegert.net;2015-11-11
K0112;Krause Dowerg GbR;Univ.Prof. Liliane Boucsein B.Sc.;Kleinstunternehmen;Hannover;Mitte;52696;08271091043;;2017-02-01
K0113;Tintzmann Kühnert AG;Fredi Carsten-Jessel;KMU;Halle;Ost;83285;0914630316;metzeleonore@bluemel.org;2021-11-11
K0114;Weihmann;Herr Adrian Trommler;Kleinstunternehmen;Essen;West;02758;04252 41056;annegrete14@rust.com;2015-12-26
K0115;Meyer Pergande GmbH;Jakob Rosenow;KMU;Dortmund;West;52419;(01380) 00307;ramazan22@roehrdanz.de;2022-11-08
K0116;Jungfer GbR;Univ.Prof. Friederike Hiller;Kleinstunternehmen;Nürnberg;Süd;95180;+49 (0) 3806 174451;xanders@hornich.org;2019-01-18
K0117;Scholtz;Dipl.-Ing. Hans-Erich Schäfer MBA.;Privatkunde;Wiesbaden;Mitte;83206;;siegfriednoack@faust.org;2020-05-14
K0118;Beyer GbR;Univ.Prof. Tabea Köhler;KMU;Darmstadt;Mitte;19182;(06199) 06234;mirjana56@waehner.de;2022-08-17
K0119;Mentzel Heydrich GbR;Wieslaw Gutknecht;Kleinstunternehmen;Kassel;Mitte;91212;07561 853747;monica11@striebitz.com;2020-08-21
K0120;Junken AG & Co. KG;Nurettin Hering;Kleinstunternehmen;Hamburg;Nord;68044;+49 (0) 0678 831712;aumannburkhard@ehlert.de;2018-03-09
K0121;Striebitz Schuchhardt KGaA;Klaus-D. Schaaf;KMU;Kiel;Nord;10137;+49 (0) 1510 702966;ybecker@loos.com;2022-03-10
K0122;Hamann Gotthard GbR;Ingelore Fischer;KMU;Freiburg;Süd;99934;06870 146263;eugeniering@kranz.de;2015-04-27
K0123;Ring Zänker GmbH & Co. KGaA;Tina Rosemann;Kleinstunternehmen;Hamburg;Nord;64205;(03040) 785932;hentschelgerlinde@hethur.com;2022-03-02
K0124;Ruppert e.V.;Gislinde Gerlach-Gierschner;KMU;lübeck;Nord;95590;09929378427;conradibirger@schleich.com;2022-09-06
K0125;Müller;Guenther Schmiedecke;Großkunde;Dresden;Ost;25250;+49(0)2921851569;kallertlambert@ernst.de;2021-10-20
K0126;Neuschäfer;Christina Trommler;KMU;NÜRNBERG;Süd;39264;+49(0)2209 69029;sonia93@rosemann.com;2019-02-26
K0127;Faust Kabus Stiftung & Co. KGaA;Ernst Kensy;Großkunde;Wiesbaden;Mitte;21570;+49(0)3315 41006;awagner@lehmann.de;2018-04-03
K0128;Ritter Kohl AG;Prof. Margarete Werner B.A.;KMU;Halle;Ost;71040;04115262181;desiree97@becker.de;2017-02-16
K0129;Gehringer;Dr. Anka Ditschlerin;Großkunde;Stuttgart;Süd;33688;;bertklingelhoefer@loos.org;2020-09-01
K0130;Schomber;Dr. Ariane Bauer B.A.;Großkunde;Leipzig;Ost;41714;0774186256;hans-guenter70@mans.net;2022-07-17
K0131;Rose Bolander AG & Co. KG;Augustin Staude;KMU;Dresden;Ost;86938;+49(0)6868793741;ctrueb@rudolph.com;2019-02-07
K0132;Wernecke GmbH & Co. KG;Dr. Zeljko Hahn;KMU;Lübeck;Nord;20616;+49(0) 294511686;nadin48@aumann.de;2021-03-02
K0133;Liebelt AG & Co. KG;Karlfried Schacht-Säuberlich;Großkunde;Aachen;West;19148;06467997024;nfechner@stiffel.de;2021-04-03
K0134;Kroker GmbH;Herr Petar Mülichen B.Eng.;Privatkunde;Düsseldorf;West;05444;;thomashahn@weihmann.de;2020-04-24
K0135;Pieper e.V.;Herr Gerold Tröst;KMU;Darmstadt;Mitte;28902;+49(0) 303070534;marie-theres78@schuster.com;2018-05-10
K0136;Köhler GmbH & Co. KGaA;Cilli Mühle B.Eng.;KMU;Kassel;Mitte;24140;0029333346;;2018-09-18
K0137;Seifert AG & Co. KGaA;Engin Herrmann;Privatkunde;Lübeck;Nord;46657;+49(0)3748 96910;camilla99@huhn.de;2022-05-09
K0138;Kallert  GbR;Sofia Hofmann;Großkunde;Wiesbaden;Mitte;43283;+49(0)9652074466;cwalter@trommler.net;2015-05-10
K0139;van der Dussen Trüb GbR;Univ.Prof. Gloria Patberg B.Eng.;Großkunde;Frankfurt;Mitte;82417;+49 (0) 4825 135346;peer49@mitschke.com;2021-11-09
K0140;Säuberlich;Hubertus Gude;Großkunde;Berlin;Ost;68460;+49 (0) 2356 972521;okade@johann.com;2016-12-10
K0141;Mentzel GbR;Rainer Wohlgemut B.A.;KMU;Halle;Ost;71296;(06667) 60083;ulrike05@grein.com;2017-10-06
K0142;Adolph;Dr. Necati Kaul B.Eng.;KMU;Aachen;West;16894;+49 (0) 1044 789856;miroslawniemeier@weitzel.de;2020-06-25
K0143;Heidrich GbR;Ehrenfried Wagner-Barkholz;KMU;Essen;West;15064;09090 10016;hkramer@herrmann.de;2021-02-02
K0144;Fliegner;Nick Striebitz B.Sc.;KMU;ERFURT;Ost;61849;;eileengute@preiss.de;2015-11-20
K0145;Fritsch Benthin KG;Dr. Marlene Nerger B.Eng.;KMU;Essen;West;00119;(07218) 11437;jose70@gertz.org;2016-07-16
K0146;Stey Johann GmbH & Co. KG;Bela Werner;Kleinstunternehmen;Rostock;Nord;02255;09415 521667;martine67@seip.com;2019-08-20
K0147;van der Dussen;;Kleinstunternehmen;Essen;West;69797;+49 (0) 9659 027716;ebien@soelzer.net;2020-05-02
K0148;Kambs;Heinz-Günter Speer;Privatkunde;Leipzig;Ost;75628;(00028) 772175;maximholsten@patberg.de;2021-06-09
K0149;Heinz Budig GmbH & Co. KG;;Kleinstunternehmen;Freiburg;Süd;77517;(00166) 08801;romana88@soelzer.de;2015-05-29
K0150;Knappe Bloch GbR;Georgine Römer MBA.;KMU;Erfurt;Ost;71130;05488510272;;2021-05-15
K0151;Kreusel AG & Co. OHG;Ruthild Zänker B.A.;Großkunde;frankfurt;Mitte;16091;07982 708086;xpechel@suessebier.com;2020-08-27
K0152;Eckbauer;Hans-Jürgen Sontag;Großkunde;Dresden;Ost;86693;+49(0)6547 22698;meryem85@walter.net;2015-02-27
K0153;Häring KG;Marlen Kaul;Großkunde;Dortmund;West;28851;08799684608;barthralf@bloch.com;2015-12-22
K0154;Hethur e.G.;Ing. Mirko Hermann;Kleinstunternehmen;Berlin;Ost;04380;;kranzreimer@zirme.com;2020-01-04
K0155;Weimer GbR;;KMU;Dortmund;West;59893;+49(0) 472122816;lorchkarl-heinz@hettner.com;2016-04-29
K0156;Sauer GbR;Guenter Mohaupt;KMU;Dresden;Ost;02590;(09479) 85158;valeskagorlitz@boerner.com;2018-04-23
K0157;Ring Reising GmbH;Hannes Hartung;Großkunde;Aachen;West;55543;(08780) 157399;veronicabenthin@jungfer.de;2019-08-31
K0158;Krause GbR;Alida Plath;Kleinstunternehmen;Darmstadt;Mitte;88770;+49(0)3581 12880;haeringgrete@wohlgemut.net;2015-12-02
K0159;Löffler;Eduard Renner;Privatkunde;Darmstadt;Mitte;12075;;ckraushaar@lachmann.de;2020-09-01
K0160;Bachmann Krebs OHG mbH;Jozef Albers;Großkunde;Freiburg;Süd;90158;+49(0)4491 476607;antjehartmann@weinhold.org;2021-07-16
K0161;Fechner;Marika Vollbrecht;Kleinstunternehmen;berlin;Ost;08821;+49(0)0996881435;sandorseidel@faust.com;2015-08-25
K0162;Hartung KG;;KMU;Darmstadt;Mitte;90878;+49(0)4141 397552;eckhardhoelzenbecher@bohnbach.net;2021-06-26
K0163;Neureuther Mende GmbH;Martina Sauer;Privatkunde;Hamburg;Nord;99556;+49 (0) 0533 645257;wmatthaei@neuschaefer.com;2020-04-17
K0164;auch Schlauchin;Siegmar Holt;Großkunde;Kiel;Nord;83411;+49(0)8099693084;xsoeding@kobelt.net;2020-01-12
K0165;Wagner;Bozena Mitschke;Kleinstunternehmen;Erfurt;Ost;65803;(02827) 229927;arthur37@bolnbach.de;2017-01-01
K0166;Berger OHG mbH;Jochen Zorbach B.Eng.;Privatkunde;Darmstadt;Mitte;77005;+49(0)8449 892665;plathjanko@hauffer.de;2020-03-11
K0167;Neuschäfer Zorbach GmbH & Co. KGaA;Jan Etzold;KMU;Darmstadt;Mitte;23184;+49(0) 222591365;nergergunhild@naser.com;2016-04-07
K0168;Langern;Eugen Beyer;Kleinstunternehmen;Lübeck;Nord;99228;+49(0)9202428699;tschentscherjacqueline@hoelzenbecher.com;2015-05-18
K0169;Meister KG;Dipl.-Ing. Christel Hartmann MBA.;Privatkunde;Halle;Ost;92984;+49 (0) 5799 136621;gutknechtannedore@stolze.de;2017-06-08
K0170;auch Schlauchin AG;Dipl.-Ing. Toni Schmiedecke;KMU;Bremen;Nord;88117;(02980) 68650;zhein@zobel.de;2018-08-06
K0171;Weihmann;Heini Eimer;Großkunde;nürnberg;Süd;73149;06430 09818;kohlgeraldine@stroh.de;2021-08-20
K0172;Klotz Döring  AG & Co. KG;Univ.Prof. Lidwina Herrmann;Großkunde;Stuttgart;Süd;86959;+49(0)6368 87258;therrmann@kaul.de;2019-09-02
K0173;Etzler;Peter-Michael Hein;Kleinstunternehmen;Leipzig;Ost;21386;08902601279;ecichorius@hartung.com;2022-12-08
K0174;Kraus;Lotte Sölzer-Pölitz;Kleinstunternehmen;stuttgart;Süd;90277;+49(0)3843098839;gundibeier@henck.com;2018-09-14
K0175;Hofmann e.G.;Gisa Staude-Kroker;Kleinstunternehmen;LÜBECK;Nord;93801;;kkusch@hess.de;2021-10-13
K0176;Döring;Janko Hornig;Kleinstunternehmen;frankfurt;Mitte;18489;+49(0)7697 35779;nergereric@boerner.net;2018-09-25
K0177;Tintzmann;Ing. Harri Kitzmann B.Sc.;Großkunde;Köln;West;34165;+49(0)8275 539423;mwalter@waehner.org;2022-11-22
K0178;Hein AG & Co. OHG;Prof. Hans Georg Förster B.Sc.;Großkunde;stuttgart;Süd;17908;+49(0)7595794728;robin39@bloch.de;2018-06-17
K0179;Reuter Beckmann GmbH & Co. OHG;Heide Striebitz;Großkunde;Dortmund;West;71875;+49(0)0369155942;hueseyin47@karz.de;2017-04-12
K0180;Ortmann GmbH & Co. KG;Hassan Thies B.Eng.;Kleinstunternehmen;Dortmund;West;64729;;wilfriedanders@linke.com;2021-07-20
K0181;Plath;Raissa Neuschäfer;Kleinstunternehmen;Darmstadt;Mitte;48906;+49(0)2034 717545;bruni84@baerer.de;2022-09-06
K0182;auch Schlauchin;Kevin Ruppert B.A.;Großkunde;Dortmund;West;55877;+49(0)6947 225699;fboucsein@karz.de;2018-12-13
K0183;Söding Hornich Stiftung & Co. KG;Lisette Seidel;Privatkunde;Augsburg;Süd;47598;06220 234132;gdobes@muehle.com;2015-11-01
K0184;Winkler GmbH;Berndt Hesse;Kleinstunternehmen;Hamburg;Nord;16433;;imosemann@rogge.com;2019-03-09
K0185;Schenk;Magda Weiß MBA.;Großkunde;Rostock;Nord;57831;;kemal78@stroh.de;2019-08-12
K0186;Anders Wilms GmbH & Co. KG;Lilly Heinrich;Privatkunde;Hamburg;Nord;85368;0632663416;annawieloch@taesche.org;2019-10-30
K0187;Seip Weimer KG;Henriette Graf;KMU;münchen;Süd;22417;(07497) 350208;gotthardwiltrud@holzapfel.com;2019-06-14
K0188;Mangold;Eric Conradi;Kleinstunternehmen;Kiel;Nord;07356;+49(0)7570 51204;iboucsein@girschner.de;2015-11-27
K0189;Eberhardt e.G.;Dipl.-Ing. Raymund Margraf B.A.;Privatkunde;Hamburg;Nord;37183;06452 088147;hans-ulrich50@harloff.com;2019-11-13
